Datetime,Temperature,Turbidity,Dissolved Oxygen,PH,Ammonia,Nitrate
2021-06-19 01:11:00,24.75,100.0,4.226,8.43365,0.38,197.0
2021-06-19 01:12:00,24.75,100.0,21.308,8.42911,0.38,192.0
2021-06-19 01:13:00,24.75,100.0,26.641,8.44726,0.38,195.0
2021-06-19 01:14:00,24.8125,100.0,5.967,8.42003,0.38,196.0
2021-06-19 01:15:00,24.75,100.0,0.067,8.48358,0.38,193.0
2021-06-19 01:16:00,24.75,100.0,3.718,8.43365,0.38,193.0
2021-06-19 01:17:00,24.75,100.0,17.842,8.42911,0.38,192.0
2021-06-19 01:18:00,24.75,100.0,32.667,8.44726,0.38,192.0
2021-06-19 01:19:00,24.75,100.0,14.58,8.44726,0.38,194.0
2021-06-19 01:20:00,24.8125,100.0,14.182,8.43818,0.38,191.0
2021-06-19 01:21:00,24.75,100.0,5.958,8.42911,0.38,194.0
2021-06-19 01:22:00,24.75,100.0,5.493,8.43818,0.38,196.0
2021-06-19 01:23:00,24.75,100.0,5.434,8.43365,0.38,193.0
2021-06-19 01:24:00,24.75,100.0,3.702,8.43818,0.38,195.0
2021-06-19 01:25:00,24.75,100.0,4.707,8.43365,0.38,195.0
2021-06-19 01:26:00,24.75,100.0,4.378,8.42911,0.38,194.0
2021-06-19 01:27:00,24.75,100.0,5.113,8.42911,0.38,178.0
2021-06-19 01:28:00,24.75,100.0,38.111,8.48812,0.38,193.0
2021-06-19 01:29:00,24.75,100.0,38.111,8.48812,0.38,193.0
2021-06-19 01:30:00,24.75,100.0,38.153,8.42911,0.38,195.0
2021-06-19 01:31:00,24.75,100.0,38.466,8.42911,0.38,195.0
2021-06-19 01:32:00,24.75,100.0,5.02,8.43365,0.38,194.0
2021-06-19 01:33:00,24.8125,100.0,4.961,8.43818,0.38,192.0
2021-06-19 01:34:00,24.6875,100.0,4.378,8.44726,0.38,193.0
2021-06-19 01:35:00,24.6875,100.0,15.053,8.42911,0.38,192.0
2021-06-19 01:36:00,24.6875,100.0,33.403,8.44272,0.38,196.0
2021-06-19 01:37:00,24.6875,100.0,22.846,8.43365,0.38,196.0
2021-06-19 01:38:00,24.6875,100.0,6.119,8.43818,0.38,195.0
2021-06-19 01:39:00,24.6875,100.0,37.342,8.42911,0.38,198.0
2021-06-19 01:40:00,24.6875,100.0,5.248,8.42911,0.38,196.0
2021-06-19 01:41:00,24.6875,100.0,8.249,8.42911,0.38,202.0
2021-06-19 01:42:00,24.6875,100.0,5.35,8.42911,0.38,202.0
2021-06-19 01:43:00,24.6875,100.0,15.138,8.42911,0.38,204.0
2021-06-19 01:44:00,24.6875,100.0,6.322,8.43365,0.38,203.0
2021-06-19 01:45:00,24.75,100.0,6.795,8.42457,0.38,186.0
2021-06-19 01:46:00,24.6875,100.0,4.141,8.42911,0.38,201.0
2021-06-19 01:47:00,24.6875,100.0,6.305,8.42911,0.38,202.0
