,Datetime,Temperature,Turbidity,Dissolved Oxygen,PH,Ammonia,Nitrate,Temperature_Predict,PH_Predict,Turbidity_Predict,Dissolved Oxygen Predict,Ammonia_Predict,Nitrate_Predict,Weight_diff_Pred
0,2021-07-31 21:07:00,24.875,6.0,38.702,7.29424,0.5672,719.0,,,,,,,0.0175927512740733
1,2021-07-31 21:08:00,24.9375,6.0,38.694,7.29424,0.57584,717.0,,,,,,,0.0175927512740733
2,2021-07-31 21:09:00,24.9375,6.0,38.677,7.30332,0.56935,719.0,24.701153,7.3280964,18.070316,30.659878,10185.169,203.31471,0.0175927512740733
3,2021-07-31 21:10:00,24.875,6.0,38.652,7.29424,0.5672,720.0,24.72879,7.326869,18.070316,30.661922,10185.169,203.31471,0.0175927512740733
4,2021-07-31 21:11:00,24.9375,6.0,38.855,7.30332,0.53795,720.0,24.712002,7.326916,18.070316,30.665981,10185.169,203.31471,0.0175927512740733
5,2021-07-31 21:12:00,24.9375,7.0,38.686,7.30332,0.54409,720.0,24.701355,7.3293314,18.070316,30.670338,10185.169,203.31471,0.0175927512740733
6,2021-07-31 21:13:00,24.875,6.0,38.516,7.30786,0.56935,716.0,24.72803,7.3301425,18.070316,30.604668,10185.169,203.31471,0.0175927512740733
7,2021-07-31 21:14:00,24.875,7.0,38.686,7.29424,0.59125,704.0,24.712227,7.32914,18.070316,30.66418,10185.169,203.31471,0.0175927512740733
8,2021-07-31 21:15:00,24.875,7.0,38.686,7.29878,0.59349,706.0,24.684116,7.3310347,18.070316,30.69021,10185.169,203.31471,0.0175927512740733
9,2021-07-31 21:16:00,24.875,7.0,38.686,7.29878,0.64477,698.0,24.685081,7.3269324,18.070316,30.66383,10185.169,150.46878,0.0175927512740733
10,2021-07-31 21:17:00,24.875,7.0,38.702,7.29424,0.70298,688.0,24.684788,7.3284864,18.070316,30.66383,10185.169,150.46878,0.0175927512740733
11,2021-07-31 21:18:00,24.9375,6.0,38.812,7.30332,0.75207,679.0,24.684708,7.327745,18.070316,30.663792,10185.169,150.46878,0.0175927512740733
12,2021-07-31 21:19:00,24.9375,6.0,38.669,7.29424,0.81663,675.0,24.701355,7.3293314,18.070316,30.659374,10185.169,150.46878,0.0175927512740733
13,2021-07-31 21:20:00,24.875,6.0,38.702,7.29424,0.80149,671.0,24.727825,7.3286448,18.070316,30.623592,10185.169,150.46878,0.0175927512740733
14,2021-07-31 21:21:00,24.875,7.0,38.728,7.29424,0.89993,659.0,24.71275,7.3237195,18.070316,30.66764,10185.169,150.46878,0.0175927512740733
15,2021-07-31 21:22:00,24.875,7.0,38.702,7.2897,1.08426,640.0,24.685,7.3263135,18.070316,30.659782,10185.169,150.46878,0.0209509080590418
16,2021-07-31 21:23:00,24.875,7.0,38.652,7.2897,1.01397,642.0,24.684917,7.3256974,18.070316,30.652775,10185.169,150.46878,0.0209509080590418
17,2021-07-31 21:24:00,24.9375,7.0,38.702,7.2897,1.01776,640.0,24.685215,7.3242908,18.070316,30.659971,10185.169,150.46878,0.0209509080590418
18,2021-07-31 21:25:00,24.875,7.0,38.686,7.30332,1.01776,639.0,24.701347,7.326066,18.070316,30.671164,10185.169,150.46878,0.0209509080590418
19,2021-07-31 21:26:00,24.875,6.0,38.652,7.29424,1.14224,633.0,24.713276,7.3235674,18.070316,30.659897,10185.169,150.46878,0.0209509080590418
20,2021-07-31 21:27:00,24.875,6.0,38.643,7.30332,1.16368,630.0,24.684412,7.3293815,18.070316,30.663902,10185.169,150.46878,0.0209509080590418
21,2021-07-31 21:28:00,24.875,6.0,38.694,7.29424,1.28654,622.0,24.685165,7.327595,18.070316,30.671288,10185.169,150.46878,0.0209509080590418
22,2021-07-31 21:29:00,24.9375,6.0,38.686,7.2897,1.31554,611.0,24.684412,7.3293815,18.070316,30.672926,10185.169,150.46878,0.0209509080590418
23,2021-07-31 21:30:00,24.875,6.0,38.702,7.29424,1.57816,597.0,24.701046,7.327483,18.070316,30.661903,10185.169,150.46878,0.0209509080590418
24,2021-07-31 21:31:00,24.875,6.0,38.702,7.29878,1.6624,593.0,24.713123,7.3223267,18.070316,30.663792,10185.169,150.46861,0.0209509080590418
25,2021-07-31 21:32:00,24.8125,8.0,38.626,7.30332,1.4816,578.0,24.685081,7.3269324,18.070316,30.659859,10185.169,-1.3833522,0.2592882532500601
26,2021-07-31 21:33:00,24.875,7.0,38.686,7.32148,1.73818,587.0,24.666702,7.3275013,18.070316,30.660019,10185.169,-1.3833522,0.0209509080590418
27,2021-07-31 21:34:00,24.875,7.0,38.652,7.30332,1.64397,592.0,24.660057,7.336566,18.070316,30.676018,10185.169,-1.3833522,0.0209509080590418
28,2021-07-31 21:35:00,24.875,7.0,38.778,7.29878,1.71891,587.0,24.683403,7.3376904,18.070316,30.663902,10185.169,-1.3833522,0.0209509080590418
29,2021-07-31 21:36:00,24.875,8.0,38.626,7.29424,1.57816,576.0,24.684494,7.3301315,18.070316,30.670898,10185.169,-1.3833522,0.0209509080590418
30,2021-07-31 21:37:00,24.875,6.0,38.702,7.29424,1.81069,584.0,24.684708,7.327745,18.070316,30.636753,10185.169,-1.3833522,0.0209509080590418
31,2021-07-31 21:38:00,24.875,7.0,38.686,7.30332,1.79728,587.0,24.685,7.3263135,18.070316,30.67598,10185.169,-1.3833522,0.0209509080590418
32,2021-07-31 21:39:00,24.875,7.0,38.702,7.30332,1.87924,579.0,24.685165,7.327595,18.070316,30.659897,10185.169,-1.3833522,0.0209509080590418
33,2021-07-31 21:40:00,24.875,6.0,38.584,7.29424,2.0777,571.0,24.684574,7.3308854,18.070316,30.663792,10185.169,-1.3833522,0.0209509080590418
34,2021-07-31 21:41:00,24.875,7.0,38.643,7.30332,2.21339,565.0,24.684412,7.3293815,18.070316,30.660099,10185.169,-1.3833522,0.0209509080590418
35,2021-07-31 21:42:00,24.875,7.0,38.702,7.2897,2.17257,563.0,24.685165,7.327595,18.070316,30.68257,10185.169,-1.3833522,0.0209509080590418
36,2021-07-31 21:43:00,24.875,7.0,38.643,7.29424,2.53113,557.0,24.68433,7.328635,18.070316,30.672909,10185.169,-1.3833522,0.0209509080590418
37,2021-07-31 21:44:00,24.875,7.0,38.694,7.29424,2.57879,553.0,24.685295,7.3249,18.070316,30.659988,10185.169,-1.3833522,0.0209509080590418
38,2021-07-31 21:45:00,24.9375,6.0,38.669,7.29878,3.00579,544.0,24.685,7.3263135,18.070316,30.672926,10185.169,-1.3833522,0.0209509080590418
39,2021-07-31 21:46:00,24.875,7.0,38.702,7.30332,2.84177,544.0,24.701256,7.3287125,18.070316,30.661942,10185.169,-1.3833522,0.0209509080590418
40,2021-07-31 21:47:00,24.875,7.0,38.686,7.30332,3.08561,541.0,24.712528,7.3267727,18.070316,30.66764,10185.169,-1.3833522,0.0209509080590418
41,2021-07-31 21:48:00,24.875,7.0,38.669,7.29424,2.59811,556.0,24.684574,7.3308854,18.070316,30.659897,10185.169,-1.3833522,0.0209509080590418
42,2021-07-31 21:49:00,24.875,8.0,38.643,7.30332,2.63719,534.0,24.684412,7.3293815,18.070316,30.663868,10185.169,-1.3833522,0.0209509080590418
43,2021-07-31 21:50:00,24.875,7.0,38.669,7.30332,3.14396,543.0,24.685165,7.327595,18.070316,30.667767,10185.169,-1.3833522,0.0209509080590418
44,2021-07-31 21:51:00,24.875,6.0,38.652,7.30332,3.37617,535.0,24.684574,7.3308854,18.070316,30.672981,10185.169,-1.3833522,0.0209509080590418
45,2021-07-31 21:52:00,24.875,6.0,38.669,7.2897,3.53184,531.0,24.684574,7.3308854,18.070316,30.667747,10185.169,-1.3833522,0.0209509080590418
46,2021-07-31 21:53:00,24.9375,6.0,38.762,7.30332,3.76513,523.0,24.68433,7.328635,18.070316,30.671238,10185.169,-1.3833522,0.0209509080590418
47,2021-07-31 21:54:00,24.9375,7.0,38.601,7.29424,3.86574,523.0,24.701649,7.3278823,18.070316,30.667442,10185.169,-1.3833522,0.0209509080590418
48,2021-07-31 21:55:00,24.875,7.0,38.643,7.30332,3.98414,509.0,24.727825,7.3286448,18.070316,30.64237,10185.169,-1.3833522,0.0209509080590418
49,2021-07-31 21:56:00,24.875,7.0,38.669,7.28516,4.47951,501.0,24.712902,7.3251634,18.070316,30.68013,10185.169,-1.3833522,0.0209509080590418
50,2021-07-31 21:57:00,24.875,6.0,38.694,7.29878,4.54792,498.0,24.684248,7.3279266,18.070316,30.672981,10185.169,-1.3833522,0.0209509080590418
51,2021-07-31 21:58:00,24.8125,7.0,38.652,7.29424,4.67027,496.0,24.685673,7.3241067,18.070316,30.66766,10185.169,-1.3833522,0.2592882532500601
52,2021-07-31 21:59:00,24.875,7.0,38.686,7.30786,4.36234,500.0,24.666489,7.3260336,18.070316,30.661976,10185.169,-1.3833522,0.0209509080590418
53,2021-07-31 22:00:00,24.8125,7.0,38.702,7.29424,4.4289,499.0,24.660273,7.330776,18.070316,30.671204,10185.169,-1.3833522,0.2592882532500601
54,2021-07-31 22:01:00,24.875,7.0,38.736,7.29424,4.21634,503.0,24.665874,7.3292766,18.070316,30.663792,10185.169,-1.3833522,0.0209509080590418
55,2021-07-31 22:02:00,24.875,7.0,38.694,7.29424,3.79359,523.0,24.659962,7.32891,18.070316,30.659756,10185.169,-1.3833522,0.0209509080590418
56,2021-07-31 22:03:00,24.8125,7.0,38.694,7.31694,3.80791,523.0,24.685,7.3263135,18.070316,30.650436,10185.169,-1.3833522,0.2592882532500601
57,2021-07-31 22:04:00,24.875,7.0,38.702,7.29424,3.895,519.0,24.667332,7.328094,18.070316,30.661884,10185.169,-1.3833522,0.0209509080590418
58,2021-07-31 22:05:00,24.875,7.0,38.669,7.30332,4.23231,507.0,24.658648,7.3369613,18.070316,30.661865,10185.169,-1.3833522,0.0209509080590418
59,2021-07-31 22:06:00,24.875,7.0,38.694,7.32148,4.34586,503.0,24.685165,7.327595,18.070316,30.659935,10185.169,-1.3833522,0.0209509080590418
60,2021-07-31 22:07:00,24.875,6.0,38.652,7.29878,4.77786,499.0,24.684942,7.333907,18.070316,30.66766,10185.169,-1.3833522,0.0209509080590418
61,2021-07-31 22:08:00,24.875,6.0,38.778,7.29424,4.92532,495.0,24.68332,7.3368826,18.070316,30.661976,10185.169,-1.3833522,0.0209509080590418
62,2021-07-31 22:09:00,24.875,6.0,38.795,7.30332,5.05824,493.0,24.684708,7.327745,18.070316,30.670898,10185.169,-1.3833522,0.0209509080590418
63,2021-07-31 22:10:00,24.875,6.0,38.77,7.30332,5.07753,493.0,24.685165,7.327595,18.070316,30.636156,10185.169,-1.3833522,0.0209509080590418
64,2021-07-31 22:11:00,24.875,7.0,38.652,7.30332,4.79604,496.0,24.684574,7.3308854,18.070316,30.62997,10185.169,-1.3833522,0.0209509080590418
65,2021-07-31 22:12:00,24.875,7.0,38.686,7.29424,5.13586,496.0,24.684574,7.3308854,18.070316,30.639526,10185.169,-1.3833522,0.0209509080590418
66,2021-07-31 22:13:00,24.875,7.0,38.728,7.29424,4.92532,495.0,24.684412,7.3293815,18.070316,30.671204,10185.169,-1.3833522,0.0209509080590418
67,2021-07-31 22:14:00,24.8125,7.0,38.669,7.30786,4.68802,499.0,24.685,7.3263135,18.070316,30.663717,10185.169,-1.3833522,0.2592882532500601
68,2021-07-31 22:15:00,24.8125,7.0,38.686,7.29878,4.2806,503.0,24.667118,7.3266196,18.070316,30.652855,10185.169,-1.3833522,0.2592882532500601
69,2021-07-31 22:16:00,24.875,7.0,38.694,7.29424,4.24835,510.0,24.637789,7.3325458,18.070316,30.667679,10185.169,-1.3833522,0.0209509080590418
70,2021-07-31 22:17:00,24.8125,7.0,38.702,7.2897,4.04474,517.0,24.659695,7.330368,18.070316,30.66381,10185.169,-1.3833522,0.2592882532500601
71,2021-07-31 22:18:00,24.875,7.0,38.702,7.30332,4.07539,511.0,24.666687,7.3239098,18.070316,30.661865,10185.169,-1.3833522,0.0209509080590418
72,2021-07-31 22:19:00,24.875,7.0,38.677,7.2897,3.9542,511.0,24.660433,7.328694,18.070316,30.659859,10185.169,-1.3833522,0.0209509080590418
73,2021-07-31 22:20:00,24.875,7.0,38.745,7.3124,3.76513,511.0,24.68433,7.328635,18.070316,30.659918,10185.169,-1.3833522,0.0209509080590418
74,2021-07-31 22:21:00,24.875,7.0,38.77,7.29878,3.5719,523.0,24.685654,7.327424,18.070316,30.66574,10185.169,-1.3833522,0.0209509080590418
75,2021-07-31 22:22:00,24.875,7.0,38.694,7.30332,3.33837,530.0,24.683907,7.3334727,18.070316,30.647404,10185.169,-1.3833522,0.0209509080590418
76,2021-07-31 22:23:00,24.875,7.0,38.745,7.2897,3.01706,543.0,24.684868,7.3292317,18.070316,30.639423,10185.169,-1.3833522,0.0209509080590418
77,2021-07-31 22:24:00,24.875,7.0,38.669,7.32148,2.99456,544.0,24.68433,7.328635,18.070316,30.66173,10185.169,-1.3833522,0.0209509080590418
78,2021-07-31 22:25:00,24.8125,6.0,38.643,7.30332,2.96113,537.0,24.68584,7.3288393,18.070316,30.647741,10185.169,-1.3833522,0.2592882532500601
79,2021-07-31 22:26:00,24.875,7.0,38.745,7.2897,2.88459,535.0,24.665176,7.3358226,18.070316,30.667767,10185.169,-1.3833522,0.0209509080590418
80,2021-07-31 22:27:00,24.8125,6.0,38.694,7.29424,3.00579,534.0,24.659328,7.3312097,18.070316,30.67278,10185.169,-1.3833522,0.2592882532500601
81,2021-07-31 22:28:00,24.875,6.0,38.702,7.30332,3.13219,529.0,24.667103,7.323126,18.070316,30.647678,10185.169,-1.3833522,0.0209509080590418
82,2021-07-31 22:29:00,24.8125,7.0,38.778,7.29424,3.08561,531.0,24.660168,7.330151,18.070316,30.661865,10185.169,-1.3833522,0.2592882532500601
83,2021-07-31 22:30:00,24.875,7.0,38.669,7.30332,3.08561,534.0,24.666182,7.3276463,18.070316,30.65958,10185.169,-1.3833522,0.0209509080590418
84,2021-07-31 22:31:00,24.875,6.0,38.787,7.29878,3.14396,531.0,24.660168,7.330151,18.070316,30.636658,10185.169,-1.3833522,0.0209509080590418
85,2021-07-31 22:32:00,24.875,8.0,38.626,7.29424,2.8954,524.0,24.684494,7.3301315,18.070316,30.667324,10185.169,-1.3833522,0.0209509080590418
86,2021-07-31 22:33:00,24.875,7.0,38.736,7.29878,2.97223,535.0,24.684708,7.327745,18.070316,30.633461,10185.169,-1.3833522,0.0209509080590418
87,2021-07-31 22:34:00,24.875,7.0,38.787,7.29424,3.08561,533.0,24.685081,7.3269324,18.070316,30.675884,10185.169,-1.3833522,0.0209509080590418
88,2021-07-31 22:35:00,24.875,7.0,38.795,7.2897,3.07408,535.0,24.684708,7.327745,18.070316,30.650074,10185.169,-1.3833522,0.0209509080590418
